Repository,PR Number,URL,API URL
anders2D/testgithub,24,https://github.com/anders2D/testgithub/pull/24,https://api.github.com/repos/anders2D/testgithub/issues/24
anders2D/testgithub,16,https://github.com/anders2D/testgithub/pull/16,https://api.github.com/repos/anders2D/testgithub/issues/16
anders2D/testgithub,15,https://github.com/anders2D/testgithub/pull/15,https://api.github.com/repos/anders2D/testgithub/issues/15
anders2D/testgithub,14,https://github.com/anders2D/testgithub/pull/14,https://api.github.com/repos/anders2D/testgithub/issues/14
anders2D/testgithub,13,https://github.com/anders2D/testgithub/pull/13,https://api.github.com/repos/anders2D/testgithub/issues/13
anders2D/testgithub,12,https://github.com/anders2D/testgithub/pull/12,https://api.github.com/repos/anders2D/testgithub/issues/12
anders2D/testgithub,11,https://github.com/anders2D/testgithub/pull/11,https://api.github.com/repos/anders2D/testgithub/issues/11
anders2D/testgithub,10,https://github.com/anders2D/testgithub/pull/10,https://api.github.com/repos/anders2D/testgithub/issues/10
anders2D/testgithub,9,https://github.com/anders2D/testgithub/pull/9,https://api.github.com/repos/anders2D/testgithub/issues/9
anders2D/testgithub,8,https://github.com/anders2D/testgithub/pull/8,https://api.github.com/repos/anders2D/testgithub/issues/8
anders2D/testgithub,7,https://github.com/anders2D/testgithub/pull/7,https://api.github.com/repos/anders2D/testgithub/issues/7
anders2D/testgithub,5,https://github.com/anders2D/testgithub/pull/5,https://api.github.com/repos/anders2D/testgithub/issues/5
anders2D/testgithub,4,https://github.com/anders2D/testgithub/pull/4,https://api.github.com/repos/anders2D/testgithub/issues/4
anders2D/testgithub,3,https://github.com/anders2D/testgithub/pull/3,https://api.github.com/repos/anders2D/testgithub/issues/3
